"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"ENTREZID"
4.28271176485988e-10	-1.20758427210668	0.205	0.629	9.94574153153409e-06	"1"	"RPS4Y1"	"6192"
6.4783434547549e-09	-0.296616504928604	0.534	0.822	0.000150446570049773	"1"	"ENTPD3-AS1"	"285266"
1.79135291455552e-08	0.968352380338086	0.74	0.366	0.000416005887347229	"1"	"XIST"	"7503"
4.16460330165416e-08	0.877761056460169	0.74	0.352	0.000967145824743146	"1"	"TSIX"	"9383"
5.38602482378007e-08	-0.727467717979619	0.781	0.953	0.00125079654482645	"1"	"MEAF6"	"64769"
5.88286543759472e-08	-0.668490688472693	0.11	0.455	0.00136617784057262	"1"	"KDM5D"	"8284"
7.3447239753744e-08	-0.416854459548602	0.26	0.624	0.0017056652488012	"1"	"DPM1"	"8813"
1.56686728253612e-07	-0.655686559096217	0.411	0.728	0.00363873589023364	"1"	"HM13"	"81502"
1.71818158333795e-07	-0.252146451308191	0.274	0.657	0.00399013309098571	"1"	"C12orf10"	NA
1.75573199738961e-07	-0.824143582547316	0.575	0.845	0.00407733641753789	"1"	"ENTPD3"	"956"
1.95665735839391e-07	-0.487687032562766	0.178	0.531	0.00454394538339818	"1"	"EIF1AY"	"9086"
2.18225838931816e-07	-0.434430860873603	0.466	0.784	0.00506785865751357	"1"	"PTPMT1"	"114971"
3.09460220325841e-07	-0.487870219934137	0.192	0.559	0.00718659469662702	"1"	"KBTBD4"	"55709"
3.24948430760266e-07	-0.371136079737124	0.233	0.615	0.00754627740754566	"1"	"TTTY15"	"64595"
3.76595982568506e-07	-0.565424010059624	0.342	0.638	0.00874568850318841	"1"	"FOPNL"	NA
4.20423842510507e-07	-0.374591640092044	0.11	0.474	0.0097635028946215	"1"	"UTY"	"7404"
6.33073519387231e-07	-0.386338478548167	0.452	0.812	0.0147018663407297	"1"	"PSMG2"	"56984"
6.60652228276245e-07	-0.344383512821017	0.233	0.606	0.0153423266972592	"1"	"USP9Y"	"8287"
8.19232276902987e-07	-0.91881268378559	0.233	0.549	0.0190250311665181	"1"	"DDX3Y"	"8653"
1.13403383184937e-06	-0.399281048616323	0.438	0.746	0.0263356676770378	"1"	"TAGLN3"	"29114"
1.21821370121162e-06	-0.556232913591212	0.822	0.934	0.0282905767832375	"1"	"CALCOCO2"	"10241"
1.56656995078699e-06	-0.280728661653686	0.288	0.615	0.0363804539671264	"1"	"EML5"	"161436"
2.16254271473486e-06	-0.40783615785495	0.178	0.516	0.0502207294642877	"1"	"CDK7"	"1022"
