,logFC,logCPM,F,PValue,FDR,Nhood,SpatialFDR
1,-1.77617843964625,14.6640667076635,1.65798540571084,0.198105430662088,0.972333831347974,1,0.969036093842308
2,-1.04813209623722,15.0905538974204,0.498595036324644,0.480245013805728,0.972333831347974,2,0.969036093842308
3,1.01215762258197,14.9927456689145,0.484914881001808,0.486329338523421,0.972333831347974,3,0.969036093842308
4,-0.517726973773666,14.74070136249,0.141203959368695,0.707148532175113,0.972333831347974,4,0.969036093842308
5,0.87140575533733,14.6624670567394,0.468139514896615,0.493966650255464,0.972333831347974,5,0.969036093842308
6,-1.65793653949175,14.8188507910182,1.38665273206775,0.239187384629641,0.972333831347974,6,0.969036093842308
7,-0.59377747817702,14.5895703219895,0.232429460610087,0.629809648867806,0.972333831347974,7,0.969036093842308
8,1.40181736316224,14.7026827784101,1.08148051893846,0.298560557915356,0.972333831347974,8,0.969036093842308
9,-5.07619481500168,15.1318791858662,10.4126632977689,0.00128283800490267,0.0615411682566329,9,0.0523364131853666
10,-0.274381433536908,14.6470288992377,0.041463618621944,0.838677605275806,0.972333831347974,10,0.969036093842308
11,-0.250210257971469,14.8078010875521,0.0328315547502952,0.863359597601128,0.972333831347974,11,0.969036093842308
12,0.49048006945189,15.1054696598794,0.107224916908927,0.743378805785436,0.972333831347974,12,0.969036093842308
13,0.245309833054414,15.0884770299407,0.0292208699381624,0.864296738975977,0.972333831347974,13,0.969036093842308
14,-0.796092981338739,15.0225438731305,0.295550913466213,0.586778637054787,0.972333831347974,14,0.969036093842308
15,1.1139265587839,14.6919647623043,0.713618496035168,0.398401084958878,0.972333831347974,15,0.969036093842308
16,-1.70329079499719,14.6451849349347,1.59207282372264,0.207257273773754,0.972333831347974,16,0.969036093842308
17,-0.100031939678608,14.930298638205,0.00432212349206432,0.947592689248662,0.989006162646404,17,0.989006162646404
18,-0.642298390716294,14.7349001757103,0.223989449514868,0.636096530458006,0.972333831347974,18,0.969036093842308
19,0.686785654326694,15.2071933889125,0.226505283684701,0.63420751685733,0.972333831347974,19,0.969036093842308
20,-4.19806490282406,14.7359432766421,9.12971289207397,0.00256421534402637,0.0615411682566329,20,0.0523364131853666
21,1.49129096185271,14.8943423514169,1.05075141674881,0.305525379182655,0.972333831347974,21,0.969036093842308
22,-1.95184770426384,14.8147244790773,1.89065317689423,0.169365921431974,0.972333831347974,22,0.969036093842308
23,-1.79742376517851,14.9333174430211,1.42690687349662,0.232488470565084,0.972333831347974,23,0.969036093842308
24,1.27073838016718,15.2522730723771,0.736323565358935,0.39099978508657,0.972333831347974,24,0.969036093842308
25,-0.77092901099226,14.7661617030854,0.315668564753703,0.574319529221218,0.972333831347974,25,0.969036093842308
26,-0.764072971938358,14.8259878748323,0.310294011526693,0.57759600670436,0.972333831347974,26,0.969036093842308
27,1.13681334334747,14.9135337027858,0.647773534927249,0.421057447371427,0.972333831347974,27,0.969036093842308
28,0.637456906014055,14.7655996509807,0.194281701018298,0.659450145282484,0.972333831347974,28,0.969036093842308
29,0.0115483228100055,14.5574330717587,0.000466122685505384,0.982778433958277,0.989006162646404,29,0.989006162646404
30,0.291587785639948,14.7624490090156,0.0498413861158879,0.823374686392813,0.972333831347974,30,0.969036093842308
31,0.854393947456086,14.5529609519829,0.565701941747851,0.452108497772584,0.972333831347974,31,0.969036093842308
32,-0.235193057826907,15.5106918818194,0.0195764305651545,0.888748259404786,0.984459610417609,32,0.983922603116839
33,1.09121228284248,14.6844194765403,0.701011862709448,0.402598267573232,0.972333831347974,33,0.969036093842308
34,0.111620755162642,15.1515317786095,0.00670805366658801,0.934736727298923,0.989006162646404,34,0.989006162646404
35,-0.812507573583617,14.7212997969263,0.347554954628414,0.555603240658252,0.972333831347974,35,0.969036093842308
36,0.0919043950191779,14.6118301782548,0.00712865770109102,0.932726499678405,0.989006162646404,36,0.989006162646404
37,0.726940754109212,14.8918913939412,0.2797537053182,0.596953263245909,0.972333831347974,37,0.969036093842308
38,2.80578686430156,14.8203835098258,4.10172553238793,0.0430441043196146,0.619835102202451,38,0.593892842505955
39,3.16519101794978,14.5672751155715,7.42969376776331,0.00650203560455443,0.11703664088198,39,0.107504500370451
40,0.841469345176457,14.7051948844442,0.408549081198065,0.522819806626534,0.972333831347974,40,0.969036093842308
41,-0.666022083524976,14.7238389472452,0.231631393512029,0.738718073388099,0.972333831347974,41,0.969036093842308
