p_val,avg_logFC,pct.1,pct.2,p_val_adj,symbol
0.030821356912567,-0.264805388845565,0.287,0.385,1,SEC22A
0.0308932327977557,-0.298377301440457,0.426,0.5,1,ZNF791
0.0311070923655292,-0.27569420765537,0.893,0.943,1,SLC39A9
0.0322976580511386,0.295533630608901,0.787,0.802,1,OFD1
0.0330113600070018,-0.296250399840961,0.918,0.943,1,ACAT1
0.0330553146565412,-0.263466539721033,0.295,0.401,1,CELF2
0.033411234779338,0.25546945268711,0.852,0.859,1,PLOD2
0.0334291531400308,0.298906388048428,0.934,0.927,1,FNDC3A
0.0342953105681526,0.423928216558783,0.664,0.562,1,SEC16A
0.034365856663949,0.327091844188276,0.68,0.63,1,GUCY1A3
0.0345325567045555,-1.64668608533444,0.984,0.964,1,GCG
0.0345958236300429,0.277925527027493,0.885,0.839,1,SLK
0.0353012351422544,-0.276437689877666,0.115,0.198,1,GALNT14
0.0365621771013864,0.354421695778246,0.811,0.766,1,GPX3
0.0373115189078231,0.261894819361633,0.352,0.255,1,FSD1L
0.0379239222905414,-0.267443071943893,0.852,0.911,1,GNB1
0.0391118480943787,-0.29124437388553,0.59,0.693,1,IPO9
0.0399727512298584,-0.40294536692925,0.549,0.646,1,MTMR3
0.0407490649479447,0.42142469390006,0.713,0.641,1,NFIA
0.041531395847148,0.281988181688097,0.893,0.807,1,CSNK1A1
0.0417653698735351,-0.287648065198796,0.123,0.208,1,SNX11
0.04325944455558,0.29610564012483,0.639,0.536,1,GAPVD1
0.0436266677140701,-0.331147745070384,0.09,0.167,1,ZNF596
0.0452377221085812,0.2541993612187,0.615,0.516,1,INSIG1
0.0455852318033418,-0.25219596640644,0.205,0.312,1,HARS2
0.0458572574600307,0.25005686310834,0.951,0.927,1,PRKDC
0.0461111888036677,-0.293102073051887,0.59,0.708,1,PDHA1
0.0461705419749174,0.298178407721356,0.811,0.781,1,PUM2
0.0471952715932405,-0.251160647467994,0.213,0.307,1,ZNF709
0.0475889015523463,0.290023053401604,0.787,0.797,1,PCDH17
0.048344150942591,-0.34034097826515,0.336,0.443,1,CRKL
0.0483593639126981,0.386262481051369,0.344,0.25,1,ST6GAL1
0.0491008220391312,-0.365900733182349,0.295,0.385,1,POLR1C
0.0498205328710202,-0.267134099555777,0.713,0.797,1,CNOT2
0.0503238781359067,0.316705459068761,0.713,0.693,1,CD2AP
0.0544326614937102,-0.293784985809576,0.795,0.792,1,MEIS1
0.054731539771874,0.283099557467527,0.697,0.625,1,NUP43
0.0553375928521161,0.271143479184312,0.451,0.375,1,HRSP12
0.055942216861421,0.282757994566711,0.926,0.917,1,PHF3
0.0591044350444901,-0.299215572458933,0.549,0.62,1,DDAH1
0.0591350209363355,-0.269960578466062,0.697,0.812,1,MTPAP
0.0604232725818539,0.272946420710382,0.41,0.344,1,ZNF347
0.062475424425088,-0.402285138801097,0.582,0.656,1,CD99L2
0.0632632409673927,-0.282413956167038,0.836,0.818,1,RBM23
0.0634665539069371,0.276377646401574,0.803,0.75,1,FOXO1
0.063772828230934,-0.274188998838891,0.828,0.844,1,ECI2
0.0650034889000305,0.447741061046721,0.852,0.849,1,CCDC47
0.0657203484096353,0.283397541442385,0.852,0.844,1,HERC1
0.0667021527329409,0.34823013725469,0.107,0.052,1,REG3A
0.0685138458678197,0.264175478510463,0.664,0.635,1,NCSTN
0.0690866052121609,0.367390775461425,0.434,0.401,1,MAF
0.0729185969917793,0.259500723481289,0.139,0.083,1,CPB1
0.079426378729236,0.285901969475322,0.713,0.703,1,LONRF2
0.0799471952960146,0.299564991860953,0.861,0.875,1,BRWD1
