name,gene,gene_name,variable,PSI,FDR
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c2_PSI,0.190184049079755,0.000418238135854214
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c2_PSI,0.107946026986507,3.36357375227051e-48
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c2_PSI,0.10958904109589,0.17761697522113
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c3_PSI,0.111111111111111,1
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c3_PSI,0.431635388739946,0.189215413380733
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c3_PSI,0.124147339699864,1.45008093673365e-09
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c3_PSI,0.808219178082192,1
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c3_PSI,0.69041769041769,8.54770514547476e-16
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c3_PSI,0.578181818181818,5.19147782695925e-18
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c3_PSI,0.2,2.31133208064747e-06
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c3_PSI,0.346938775510204,1.77459463925554e-18
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c3_PSI,0.412371134020619,0.463564366492907
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c3_PSI,0.0459770114942529,0.488441132114792
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c3_PSI,0.248251748251748,0.00160704489646479
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c3_PSI,0.169611307420495,0.825721723876662
