p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.47506013038129e-36,0.506838731461616,0.573,0.15,1.03924321407845e-31,Beta,WSCD2
1.40929467083925e-34,0.568708815129983,0.822,0.428,3.27280501408999e-30,Beta,SLC6A6
7.2202516563089e-34,0.500557802277233,0.631,0.225,1.67675904214462e-29,Beta,C8orf47
2.06876009736078e-33,0.812038462629861,0.742,0.343,4.80428157410094e-29,Beta,LDHB
4.75788688206101e-33,0.623725839356591,0.962,0.812,1.10492407062103e-28,Beta,GAD2
6.69546737754203e-33,0.769999229233479,0.994,0.968,1.55488838908659e-28,Beta,ENO1
8.13860849400185e-33,0.53103807027682,1,1,1.89002905056205e-28,Beta,HSP90AA1
1.33114161499031e-32,0.586230978030661,0.99,0.97,3.09131017249199e-28,Beta,EIF2S3
1.04204795042489e-31,0.762333298357404,0.586,0.199,2.41994795527172e-27,Beta,PRKCA
2.36696389570179e-31,0.554447531934061,0.997,0.981,5.49680025498827e-27,Beta,PEBP1
3.20463105265036e-31,0.610812084312529,0.981,0.938,7.44211469356994e-27,Beta,ARL6IP5
4.11513134745694e-31,0.668415338306515,0.997,0.985,9.55656952819926e-27,Beta,DPYSL2
5.39385117182204e-31,0.863238829365482,0.729,0.315,1.25261405763223e-26,Beta,RBP4
7.41639760358513e-31,0.740656614297177,0.529,0.167,1.72231001548057e-26,Beta,RGS16
8.06876081279117e-31,0.518076089129718,0.946,0.702,1.87380832355449e-26,Beta,ASAP1
1.58951346973932e-30,0.655263552284737,0.882,0.63,3.69132713077563e-26,Beta,CD24
1.81213744997141e-30,0.571946218013582,0.691,0.321,4.20832680006861e-26,Beta,CXADR
2.14832609736238e-30,0.747087450156282,0.952,0.752,4.98905769590466e-26,Beta,RRAGD
4.89427722738817e-30,1.08587474481057,0.621,0.266,1.13659800051636e-25,Beta,SLC25A34
1.54978381652459e-29,0.656505843200947,0.975,0.942,3.59906295711506e-25,Beta,EIF3E
1.6699850933695e-29,0.541362781354254,0.777,0.422,3.878206382332e-25,Beta,SIPA1L2
4.57116400448706e-29,0.805779381823443,0.857,0.597,1.06156141676203e-24,Beta,ROBO2
6.64789834468006e-29,0.588081411232239,0.997,0.985,1.54384143258505e-24,Beta,SERINC1
2.33816145558412e-28,0.544089953143974,1,0.974,5.42991234830299e-24,Beta,DNAJC3
2.94981443897465e-28,0.644345106772326,0.968,0.923,6.85035407163083e-24,Beta,TOB1
5.28811569677883e-28,0.582075741690415,0.952,0.923,1.22805910826295e-23,Beta,LIN7C
7.92258129093619e-28,0.538508654915922,0.955,0.792,1.83986105319411e-23,Beta,TRIM2
1.30015921634308e-27,0.690194483708802,0.892,0.649,3.01935974811354e-23,Beta,KCNK16
1.43180421167588e-27,0.704296205924181,0.975,0.897,3.32507892077489e-23,Beta,IGF1R
1.54344752315092e-27,0.569542820349458,1,0.979,3.58434818301339e-23,Beta,DST
1.68251125933431e-27,0.536270630070617,0.646,0.272,3.90729589755207e-23,Beta,MIR100HG
2.13253707487344e-27,0.699589093030331,0.787,0.507,4.95239084897859e-23,Beta,FAM159B
