p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
7.03992866691648e-21,0.274477996871558,0.455,0.156,1.63488263431801e-16,Alpha,SORBS1
7.13567190438748e-21,0.288581269796658,0.581,0.256,1.6571170863559e-16,Alpha,MLIP
9.24914328276085e-21,0.283545176684293,0.512,0.194,2.14792854455555e-16,Alpha,RNASE4
1.8111290112128e-20,0.502933103453001,0.409,0.129,4.20598490273948e-16,Alpha,TM4SF1
3.97622186230773e-20,0.487794117898025,0.532,0.212,9.23398003083725e-16,Alpha,MMP16
6.91733779124741e-20,0.297536426326624,0.359,0.092,1.60641335526139e-15,Alpha,BTBD11
1.41477487741325e-19,0.441503327105441,0.694,0.383,3.2855316978168e-15,Alpha,TXNIP
1.81581741910911e-19,0.277777158746077,0.412,0.133,4.21687279239709e-15,Alpha,PPP1R3B
5.5399492869178e-18,0.436296892873353,0.99,0.915,1.28654242290092e-13,Alpha,SLC7A2
5.70363570445519e-18,0.421626178280322,0.99,0.969,1.32455531964563e-13,Alpha,NAA20
9.55472556486844e-18,0.372261957427523,0.864,0.662,2.2188939179294e-13,Alpha,PDE3B
3.46656477568144e-16,0.350393800191423,0.96,0.896,8.050403378565e-12,Alpha,BRP44
1.71728633128921e-15,0.435460815347607,0.561,0.279,3.98805404715294e-11,Alpha,MAOA
2.56134902803468e-15,0.354321202563088,0.99,0.915,5.94822084780493e-11,Alpha,EZR
7.00841489496791e-15,0.282074672812332,0.402,0.158,1.6275641910584e-10,Alpha,IL1R1
8.97097184701538e-14,0.267636491114517,0.814,0.55,2.08332879203238e-09,Alpha,P4HA2
1.03442371344165e-13,0.291477236965844,0.684,0.421,2.40224218972555e-09,Alpha,CAMK2G
1.29053833085493e-13,0.288131471695082,0.834,0.571,2.99701716574442e-09,Alpha,CPNE8
1.32998499167048e-13,0.447706972529757,0.694,0.46,3.08862414615635e-09,Alpha,SLC40A1
3.85433538636368e-13,0.321897347569652,0.957,0.817,8.95092306775238e-09,Alpha,HIGD1A
6.32416322285756e-13,0.313738834625957,0.628,0.377,1.46866042524421e-08,Alpha,ASXL3
9.1873853799177e-13,0.379763708041526,0.468,0.227,2.13358650677829e-08,Alpha,SEMA3E
1.31551926880096e-12,0.327991741816697,0.429,0.196,3.05503039793647e-08,Alpha,LMCD1
2.08113329312825e-12,0.343886003125532,0.907,0.781,4.83301584663173e-08,Alpha,KCNQ1OT1
2.59389754013258e-12,0.319535491397777,0.983,0.96,6.0238082574499e-08,Alpha,SPINT2
4.19088680896875e-12,0.351643847146465,0.728,0.502,9.73249643646813e-08,Alpha,ELF3
9.95801137087067e-12,0.304244822396623,0.924,0.812,2.3125489806573e-07,Alpha,PTP4A1
1.34058414105338e-11,0.313872800754851,0.957,0.802,3.11323855076825e-07,Alpha,LRRFIP1
2.42890041266858e-11,0.328409374060584,0.99,0.958,5.64063542834023e-07,Alpha,ITGB1
3.54025604524718e-11,0.418163680394162,0.987,0.973,8.22153661387754e-07,Alpha,KIAA1244
2.64312138759944e-10,0.44570803241184,0.867,0.706,6.13812079842218e-06,Alpha,RAP2B
3.33823217852474e-10,0.442857090651981,0.801,0.638,7.752376588188e-06,Alpha,CD99L2
7.9251280145653e-10,0.281116357297967,0.385,0.192,1.8404524788225e-05,Alpha,PLS3
7.94393670843011e-10,0.426617724959563,0.728,0.546,1.84482042179872e-05,Alpha,ENPP1
1.52902048216576e-09,0.269845732667939,0.598,0.404,3.55084426573354e-05,Alpha,IFI30
3.30620710893425e-09,0.417417019990108,0.339,0.167,7.678004769078e-05,Alpha,NNMT
5.43221736136656e-08,0.386834981342309,0.754,0.581,0.00126152383783016,Alpha,IVNS1ABP
1.54081322589535e-06,0.273365299064259,0.339,0.19,0.0357823055449676,Alpha,CP
2.04553090832978e-06,0.286389501071503,0.645,0.492,0.0475033642841426,Alpha,CD44
5.13602954719067e-06,0.388353534831528,0.439,0.277,0.119274014174409,Alpha,AGT
5.29241438532677e-06,0.284779318479781,0.568,0.45,0.122905739270444,Alpha,MACC1
9.31156073085655e-06,0.275663279780063,0.276,0.152,0.216242374852682,Alpha,TGM2
2.65506658224769e-05,0.250743763271308,0.904,0.821,0.616586112395382,Alpha,RAB3GAP2
4.12443978518158e-05,0.26741306550022,0.797,0.723,0.957818651312719,Alpha,C10orf10
0.000134412425696162,0.267371180191293,0.93,0.89,1,Alpha,RFX6
0.000692208716248858,0.40548182717522,0.478,0.567,1,Alpha,METTL9
9.79898150580206e-93,0.685745136180064,0.824,0.019,2.27561747509241e-88,Delta,HHEX
1.1963455539436e-63,1.43191434560001,0.853,0.052,2.77827327992323e-59,Delta,BCHE
2.87776903652722e-57,0.636168467138821,0.676,0.031,6.68304303352717e-53,Delta,LRFN5
5.0070075862759e-51,0.575514075321375,0.529,0.017,1.16277737176085e-46,Delta,FRZB
6.60862686508388e-48,0.987360195315557,0.706,0.048,1.53472141687843e-43,Delta,SLC38A1
9.72060869816489e-34,0.737394714718026,0.618,0.058,2.25741695797483e-29,Delta,ERBB4
5.00994885670792e-33,0.5697729189111,0.294,0.007,1.16346042299328e-28,Delta,ARMC4
9.32329926062144e-32,0.46334268756681,0.382,0.017,2.16514978729412e-27,Delta,GHSR
3.90811944214943e-28,0.71810566672147,0.559,0.054,9.07582578050362e-24,Delta,ST8SIA4
2.22716169521808e-26,4.74864390905305,1,0.45,5.17213760480494e-22,Delta,SST
5.8114297158471e-26,0.377376643604801,0.471,0.04,1.34958832291117e-21,Delta,AMIGO2
9.75102026872265e-26,0.647886163855446,0.5,0.048,2.26447943700546e-21,Delta,ABI3BP
1.78400596279459e-24,1.04965978485027,0.853,0.191,4.14299704739788e-20,Delta,CD9
1.50191147863798e-23,0.880081540549774,0.765,0.149,3.48788902684099e-19,Delta,MS4A8B
4.37747881663133e-23,0.435892099421127,0.706,0.114,1.01658190558629e-18,Delta,GPC5-AS1
1.3266997871737e-21,0.474214159341711,0.588,0.084,3.08099491575349e-17,Delta,KCNT2
3.28054021364419e-21,1.59112064301421,0.971,0.493,7.6183985381459e-17,Delta,LEPR
5.8642208385171e-20,0.312458964308454,0.5,0.066,1.36184800532883e-15,Delta,FHOD3
1.39195352583644e-19,0.340137721620761,0.471,0.056,3.23253367304998e-15,Delta,FAM177B
2.27399053062315e-18,0.711743241994006,0.471,0.063,5.28088820926614e-14,Delta,ITGA6
3.02481511219967e-18,1.63678306390891,1,0.458,7.0245281350613e-14,Delta,RBP4
8.58507580277913e-18,0.583886253712357,0.618,0.12,1.9937121536794e-13,Delta,LPHN2
2.6822466298914e-17,0.709969445500327,0.441,0.06,6.22898134859679e-13,Delta,F5
6.74681541542282e-16,1.0026169407712,0.971,0.436,1.56681294392364e-11,Delta,AKAP12
1.14501827034041e-15,0.701564605804949,0.618,0.134,2.65907592921153e-11,Delta,SLC4A4
3.71051152488864e-15,1.0151746355733,1,0.98,8.6169209142489e-11,Delta,SEC11C
4.50837242243179e-15,0.822304211379193,0.735,0.193,1.04697932766134e-10,Delta,DPYSL3
6.54373980049625e-15,0.683119025891288,0.5,0.086,1.51965269386925e-10,Delta,CALB1
8.52766722869763e-15,0.7269769205012,0.529,0.104,1.98038016052045e-10,Delta,MLPH
1.11312297536331e-13,0.668840405654979,0.382,0.058,2.58500548568622e-09,Delta,PPFIA2
1.48682621270735e-13,0.373261410627316,0.471,0.09,3.45285651377029e-09,Delta,ANK1
4.93270934893454e-13,0.443195912784141,0.824,0.282,1.14552309210307e-08,Delta,O3FAR1
1.88769175595868e-11,0.486807618404246,0.441,0.087,4.38378656486284e-07,Delta,SLITRK6
1.9670119474592e-11,1.59752026984484,0.882,0.545,4.56799184558451e-07,Delta,RGS2
2.30831244024677e-11,0.448394119980717,0.824,0.336,5.36059397998507e-07,Delta,ODZ3
2.555228998263e-11,0.329812134175922,0.647,0.206,5.93400830266617e-07,Delta,TFPI
2.25910740604713e-10,0.967108444272549,0.882,0.481,5.24632512906325e-06,Delta,EHF
7.7703239602484e-10,0.575791446286112,0.618,0.225,1.80450233328849e-05,Delta,LRCH2
2.91511804785247e-09,0.409708676394165,0.5,0.142,6.76977864252779e-05,Delta,AQP3
3.61686878307815e-09,0.66769765861641,0.588,0.201,8.39945437494238e-05,Delta,ANK3
4.15595217072522e-09,0.347585187107175,1,0.598,9.65136772607518e-05,Delta,BAIAP3
5.74859062657252e-09,0.500448052332169,0.882,0.463,0.000133499520120894,Delta,NCOA7
6.86263822540068e-09,1.40797475969343,0.765,0.503,0.00015937104750848,Delta,PRG4
7.11537519182401e-08,0.835466755142862,1,0.849,0.00165240358079729,Delta,PCSK1
8.40215732250686e-08,0.741968665639343,0.676,0.29,0.00195123299500577,Delta,DUSP10
1.22382649707942e-07,0.559184897209951,1,0.996,0.00284209227416755,Delta,H3F3B
2.03041541777914e-07,0.679888581425828,0.824,0.494,0.0047152337247085,Delta,MTUS1
2.23072974191426e-07,0.713966187466927,0.824,0.455,0.00518042367964748,Delta,TPPP3
2.37647035276906e-07,0.392617481773815,0.412,0.114,0.00551887710023559,Delta,FILIP1L
2.48361910035439e-07,0.415847018054618,0.324,0.076,0.00576770863675299,Delta,GABRG2
2.49849695064444e-07,0.451967060296527,0.941,0.576,0.00580225946848157,Delta,PKIB
2.82277488166922e-07,0.716693487603236,0.971,0.722,0.00655533010770043,Delta,GABRB3
3.89210352483933e-07,0.835414299955398,0.382,0.112,0.00903863201573438,Delta,CPB1
3.94929848862492e-07,0.493362800662952,0.912,0.715,0.00917145588013364,Delta,PCP4
5.20215692632183e-07,0.755605011151863,0.794,0.526,0.0120809690299972,Delta,EXOC6
5.27010635487408e-07,0.6378896157549,0.618,0.282,0.0122387679879241,Delta,EYS
5.67210512708794e-07,0.674352779119641,0.853,0.585,0.0131723297366363,Delta,GAS2
7.99162097345207e-07,0.676400316013017,1,0.747,0.0185589413866477,Delta,PSIP1
8.72221928935502e-07,0.414732811890776,0.882,0.582,0.0202556098556692,Delta,MDK
9.02673850238353e-07,0.696298377265318,0.971,0.92,0.0209627948240853,Delta,ISL1
1.12373190492989e-06,0.387601273693978,1,0.928,0.0260964260281868,Delta,TMSB4X
1.24972689563504e-06,0.480429638707397,0.294,0.07,0.0290224076973325,Delta,ECEL1
1.28118697627784e-06,0.578493451700107,0.941,0.643,0.0297530051501003,Delta,DYNC2H1
1.3656760705269e-06,0.518077229000278,0.382,0.112,0.0317150953858461,Delta,AMOTL1
1.50043224882684e-06,0.675837894996486,0.853,0.673,0.0348445381145057,Delta,ETV1
3.75827994458588e-06,0.715142635866634,0.912,0.767,0.0872785351531178,Delta,MEIS1
4.26542358136235e-06,0.401796449059926,0.647,0.311,0.0990559318299777,Delta,C22orf42
5.31935398958184e-06,0.59330751748592,0.706,0.356,0.123531357700059,Delta,UCP2
8.32551903538051e-06,0.486518160666475,1,0.996,0.193343528558642,Delta,IDS
8.97296689365605e-06,0.705434631844949,0.853,0.665,0.208379210171374,Delta,ABCC9
9.63551538034744e-06,0.576581398529058,0.706,0.379,0.223765573677809,Delta,PON3
1.20188734521543e-05,0.682413377632569,0.676,0.368,0.27911429817938,Delta,KCNJ2
1.22494835273936e-05,0.431804276566299,0.441,0.159,0.284469755956662,Delta,ST6GAL1
1.30335715172571e-05,0.52459061461315,0.971,0.9,0.302678631345262,Delta,S100A6
1.47750867714949e-05,0.392422796813894,0.853,0.486,0.343121840094426,Delta,SERPINA1
1.63189652245492e-05,0.396530137191588,0.618,0.286,0.378975329409707,Delta,KCNJ8
2.00946293551626e-05,0.3110238846234,0.382,0.135,0.466657577514941,Delta,DUSP6
2.07708446295673e-05,0.369587139021194,0.618,0.307,0.482361324832441,Delta,KIAA1217
2.1251974100535e-05,0.589421251368744,0.794,0.557,0.493534594536724,Delta,SIPA1L1
3.79375591606369e-05,0.492481965410793,0.941,0.827,0.881023936387471,Delta,SPAG16
5.50691041098202e-05,0.69486841970101,0.706,0.447,1,Delta,JAM3
5.53081449498152e-05,0.389616937763657,0.941,0.805,1,Delta,VMP1
5.53489974009732e-05,0.338559035157153,0.706,0.415,1,Delta,PLXNC1
5.78790143825732e-05,0.535832283136499,0.824,0.588,1,Delta,APOL6
5.94274716864671e-05,0.39944866493121,0.824,0.475,1,Delta,SLC4A8
6.1810213270128e-05,0.354952423067731,1,0.89,1,Delta,CADM1
7.42092607727946e-05,0.319766850295427,0.794,0.426,1,Delta,CDH10
8.23592364838129e-05,0.434211531362535,0.471,0.21,1,Delta,DHCR24
8.28869755699384e-05,0.445672719098354,0.882,0.767,1,Delta,NCAM1
8.48022732279176e-05,0.557469015377158,1,0.999,1,Delta,RTN4
8.58241941979928e-05,0.309862794912063,0.765,0.498,1,Delta,PWWP2A
0.000100054470866248,0.375025042108615,0.265,0.079,1,Delta,HENMT1
0.0001035574560104,0.812324617136653,0.735,0.502,1,Delta,STXBP5L
0.000109366301645205,0.374396363498252,0.853,0.538,1,Delta,GPR98
0.000119070034943034,0.625200147459957,1,0.977,1,Delta,KIAA1244
0.000120230150429372,0.440194494745465,0.676,0.451,1,Delta,MCC
0.000121046923703596,0.554451210700095,0.971,0.948,1,Delta,EGR1
0.000125752685502822,0.340401985746277,0.706,0.435,1,Delta,SPATA13
0.000144927618797047,0.530584679788217,0.912,0.775,1,Delta,NOL4
0.000149934093174114,0.478277760046426,0.824,0.659,1,Delta,C7orf41
0.000150242179349111,0.454419613092771,0.735,0.491,1,Delta,AGPAT6
0.000160536956223613,0.951315166672819,1,0.984,1,Delta,MDM4
0.000176017832008998,0.339139156036728,0.382,0.151,1,Delta,NTRK2
0.000196613264101124,0.642355304186638,0.941,0.739,1,Delta,PRKACB
0.000252780045874252,0.313043102668774,0.294,0.104,1,Delta,WDR96
0.000257255057352466,0.46564397552296,0.471,0.234,1,Delta,RAB30
0.000275152094549722,0.51341624862728,0.941,0.778,1,Delta,PCNT
0.000285286647853854,0.592520323359253,0.941,0.916,1,Delta,NPEPPS
0.000338861165652114,0.506463630985966,0.912,0.803,1,Delta,KPNA1
0.00034704519117704,0.363261976437967,0.794,0.576,1,Delta,PVRL3
0.000350052717360018,0.565744939853094,0.912,0.743,1,Delta,BUB3
0.000386483262213839,0.311621733043445,0.882,0.671,1,Delta,GNG12
0.000444129787303865,0.745921491183299,0.471,0.224,1,Delta,EPB41L2
0.000503866675262622,0.327721681849793,0.588,0.332,1,Delta,PER1
0.00053533205709716,0.754449970193849,0.912,0.782,1,Delta,HEPACAM2
0.000556364649082175,0.431455043421119,0.765,0.614,1,Delta,ATP10D
0.000558903296093915,0.416570527343918,0.971,0.818,1,Delta,RICTOR
0.000567105543099482,0.488782226737517,0.588,0.331,1,Delta,MRAP2
0.000569219689686308,0.349672604855325,0.765,0.593,1,Delta,NUP88
0.000590100435352632,0.396845221462017,0.647,0.402,1,Delta,STK33
0.000602842335270836,0.404674634091478,0.324,0.123,1,Delta,THSD7A
0.000639475255022975,0.432806535518642,0.941,0.849,1,Delta,LEPROT
0.000658802135787832,0.330859375051287,0.676,0.426,1,Delta,CDK14
0.000660188861921342,0.461612448852717,1,0.822,1,Delta,SYNE2
0.000664818537584887,0.346060875769229,0.824,0.582,1,Delta,CCDC152
0.000673666991297064,0.71274592515427,0.853,0.72,1,Delta,VWA5A
0.000698024192925206,0.335811871957829,0.941,0.655,1,Delta,TIMP2
0.000743754882721463,0.321971533026778,0.941,0.805,1,Delta,MEA1
0.000777499232425247,0.423081956524365,0.912,0.842,1,Delta,GPBP1L1
0.000783299207561349,0.337684927733654,0.941,0.861,1,Delta,SPTBN1
0.000789082423130618,0.361050682096482,0.824,0.726,1,Delta,RBP1
0.000872128275659648,0.578749847342269,0.971,0.934,1,Delta,FOXP1
0.000893652352227285,0.546996744793215,0.971,0.902,1,Delta,RFX6
0.000961116577389952,0.477829030560092,0.853,0.602,1,Delta,TCF7L2
0.000993902993765686,0.778449870027562,1,0.989,1,Delta,GOLGA4
0.00103318136351335,0.311264925248971,0.412,0.19,1,Delta,RPGRIP1L
0.0010619039371598,0.519244070674432,1,0.993,1,Delta,MAP1B
0.00111541882490136,0.381159422731365,0.882,0.731,1,Delta,RNPC3
0.00114342058747914,0.50792637063403,0.853,0.675,1,Delta,TTN
0.00131103020266148,0.564799814211978,0.706,0.546,1,Delta,DHX8
0.00140152651527339,0.656865186194997,0.5,0.296,1,Delta,SSTR1
0.00146620585044618,0.343160033625648,0.676,0.422,1,Delta,ORC2
0.00149921070561451,0.424225682432745,0.676,0.461,1,Delta,CXADR
0.0015271638438588,0.470906865271794,0.706,0.497,1,Delta,LRRC42
0.00172724527574147,0.45113856198105,0.971,0.878,1,Delta,TMOD1
0.00180219850319914,0.434142327242161,0.941,0.874,1,Delta,TSTD2
0.00205433809238214,0.86348023788203,0.853,0.715,1,Delta,ZNF655
0.00205468365821892,0.535546784191901,0.941,0.803,1,Delta,ATM
0.00212218947739144,0.334141694499031,0.382,0.19,1,Delta,PLEKHB1
0.00217032061831741,0.325171138573499,0.765,0.535,1,Delta,CABP7
0.00221378037263878,0.370455612791162,0.765,0.526,1,Delta,N4BP2
0.0022170752010427,0.512334326028332,0.765,0.546,1,Delta,EZH1
0.00222277522378804,0.881071874273442,0.941,0.933,1,Delta,EMC10
0.0022351224250458,0.613064608749214,0.559,0.355,1,Delta,C2orf63
0.00231330642785285,0.320342376190256,0.618,0.392,1,Delta,DIRAS3
0.00234685175335631,0.716184176176645,0.794,0.714,1,Delta,C14orf43
0.00241510887401254,0.504056772156521,0.971,0.936,1,Delta,TPR
0.00241719231666885,0.406126053535728,1,0.956,1,Delta,PHIP
0.00255929545415458,0.367384589431834,0.559,0.379,1,Delta,SVOP
0.00259646316437669,0.68937432773095,0.471,0.265,1,Delta,AASS
0.00268184433909379,0.328133028177002,0.353,0.155,1,Delta,C2orf55
0.00271672482128531,0.411482899034299,0.706,0.501,1,Delta,PARP8
0.00295519815550264,0.32627502383456,0.941,0.889,1,Delta,BEX4
0.003003927527076,0.320461471330575,1,0.991,1,Delta,SEPT7
0.00315523207338188,0.337245728185631,0.971,0.977,1,Delta,TPD52
0.00316308709942895,0.456960128045562,0.941,0.888,1,Delta,SMARCC2
0.003239251987966,0.310971016733314,0.824,0.647,1,Delta,AKAP13
0.00326299174429056,0.334507997444784,0.794,0.669,1,Delta,DECR1
0.00326981900025632,0.312166766333247,0.941,0.667,1,Delta,HADH
0.0033447772890157,0.449745675123226,0.853,0.735,1,Delta,SEC23B
0.0034741938375875,0.465805516642368,0.735,0.584,1,Delta,MAP6
0.00374291433870103,0.606254587020515,0.471,0.274,1,Delta,RAPGEF4
0.00416941750500281,0.431606687997532,0.529,0.325,1,Delta,KRBA2
0.00424943092543646,0.501691977772257,0.706,0.553,1,Delta,FAM214A
0.00436029305073916,0.357489416451879,0.765,0.625,1,Delta,UBR1
0.00443596304086712,0.346651509123865,1,0.961,1,Delta,FOS
0.004499736810191,0.502147515644001,0.882,0.826,1,Delta,CCNL1
0.00459729087686154,0.667439571656648,0.706,0.51,1,Delta,EDN3
0.00526576963642519,0.385627864981494,0.941,0.799,1,Delta,ZMIZ1
0.00533946257749385,0.397582809117336,0.735,0.533,1,Delta,USH1C
0.00537492901457449,0.377594690447381,0.559,0.38,1,Delta,VIM
0.00537961713807452,0.330054340004113,0.824,0.687,1,Delta,RAB33B
0.00541647935203188,0.483702457752195,0.853,0.699,1,Delta,PCF11
0.00541702906678998,0.383229092210964,0.353,0.171,1,Delta,F11
0.00546985576581314,0.341622352800189,1,0.937,1,Delta,ABCA5
0.00589292420954157,0.444906397146818,0.971,0.9,1,Delta,REV3L
0.006145994963936,0.394436917763355,0.853,0.675,1,Delta,CAND1
0.00632084700634432,0.341691021943687,0.265,0.112,1,Delta,AGPAT4
0.00657170657129221,0.509785836631126,0.529,0.331,1,Delta,TGFBR1
0.00657928156283059,0.386613959746176,0.794,0.648,1,Delta,USP24
0.00686194328827193,0.337595346874863,0.735,0.618,1,Delta,MEST
0.00693815836811457,0.400359405328724,0.529,0.329,1,Delta,MBOAT4
0.00703756891327494,0.851905630113197,0.765,0.616,1,Delta,LOC100507577
0.00786201989996309,0.435688463853642,0.912,0.767,1,Delta,RUNX1T1
0.00804282138443251,0.574382562343961,0.706,0.588,1,Delta,EPHX2
0.00806298077097536,0.45395963012603,0.471,0.313,1,Delta,SPATA6L
0.00823658451068373,0.406131024296275,0.824,0.628,1,Delta,ZMYM4
0.0087561090994974,0.47179035636874,0.853,0.809,1,Delta,FLJ43390
0.00902405204550807,0.527972242622114,0.941,0.829,1,Delta,KAT6B
0.00920025781602719,0.436044627137633,0.765,0.667,1,Delta,FGF12
2.1350621326932e-59,0.812977535580806,0.818,0.06,4.95825479075342e-55,PP,SLITRK6
5.18303910174754e-46,1.12220328592425,0.818,0.099,1.20365717059883e-41,PP,GPC5-AS1
5.89072170366574e-46,0.878400824802352,0.818,0.091,1.36800230124229e-41,PP,THSD7A
1.86327188366026e-40,4.36784225890689,0.886,0.175,4.32707629542423e-36,PP,PPY
1.63935383550203e-39,0.738617448429562,0.5,0.031,3.80707141218636e-35,PP,CNTNAP5
2.46999841363628e-38,0.636127528475304,0.659,0.066,5.73607731598754e-34,PP,CHN2
2.20814189076633e-37,0.952804605879021,0.659,0.071,5.12796791292664e-33,PP,CALB1
6.03872428301681e-35,0.766666134795447,0.523,0.043,1.40237294024499e-30,PP,LMO3
2.78924282017717e-28,0.454469079028627,0.273,0.009,6.47745860129743e-24,PP,CARTPT
4.01097219015319e-28,0.639715905173133,0.659,0.1,9.31468071719276e-24,PP,SPOCK1
1.19945566198163e-26,0.755963817696845,0.364,0.024,2.78549588381995e-22,PP,FGB
1.62612691040103e-25,0.416599089219718,0.682,0.123,3.77635452402431e-21,PP,SLC4A4
1.10704275244113e-23,0.785428484480655,0.795,0.182,2.57088538399404e-19,PP,DPYSL3
2.82457125912412e-23,0.415848865835726,0.477,0.061,6.55950183506393e-19,PP,CACNA2D3
6.74587438248562e-23,0.386882208075938,0.659,0.122,1.56659440784464e-18,PP,SERTM1
1.18807047466506e-22,0.366903983960368,0.386,0.038,2.75905606331467e-18,PP,ARAP2
1.58597279917516e-22,0.379604171529212,0.477,0.065,3.68310463152447e-18,PP,TMEM47
3.21499844209498e-21,0.838407373222795,0.591,0.104,7.46619088207718e-17,PP,GCNT3
2.23581862156352e-20,0.30445563123554,0.386,0.043,5.19224158485696e-16,PP,IL1RAP
2.82159237058588e-20,0.502741190477431,0.545,0.099,6.5525839622116e-16,PP,AMOTL1
4.43970569262829e-20,0.46917510645875,0.341,0.033,1.03103285299907e-15,PP,CDH17
2.33400557841462e-19,1.05296806268288,0.886,0.286,5.42026115475226e-15,PP,SEMA3E
3.04028099781576e-18,0.980967989799639,0.682,0.178,7.06044456122753e-14,PP,SLC6A4
6.1153548927049e-16,0.293879804562572,0.273,0.027,1.42016886673286e-11,PP,PRICKLE1
1.08651748342501e-15,0.321770575466137,0.318,0.039,2.52321955175789e-11,PP,SHISA6
6.23016236573499e-15,1.04190041084924,0.886,0.434,1.44683060619464e-10,PP,AKAP12
6.45182945460257e-15,0.547135122317111,0.955,0.444,1.49830835424236e-10,PP,ARX
8.58577927041168e-15,0.382129588800537,0.523,0.119,1.99387551996771e-10,PP,LPHN2
7.35566615386434e-13,1.123756270337,0.955,0.665,1.70820635091192e-08,PP,ETV1
1.71959796712034e-12,0.749319260633657,0.909,0.475,3.99342235904356e-08,PP,ACSL1
1.75647120523213e-12,0.464696203047931,0.364,0.065,4.07905307991057e-08,PP,SYNPO2
1.86268149583784e-12,1.34574251561573,0.955,0.7,4.32570523778422e-08,PP,ID2
4.9226388542731e-12,0.753642945292826,1,0.654,1.14318442112784e-07,PP,ABCC9
5.76823661973049e-12,0.382075869946133,0.682,0.258,1.33955759020001e-07,PP,TUBB2A
1.01127555928441e-11,0.314230239272427,0.318,0.054,2.34848523132618e-07,PP,PIK3C2G
2.74907748148757e-11,0.347252983524722,0.318,0.054,6.38418263525858e-07,PP,TNFRSF11B
3.13231056518732e-11,0.520437155887634,0.409,0.088,7.27416482553451e-07,PP,KCNT2
4.55843539661813e-11,0.368417609896702,0.727,0.275,1.05860545215663e-06,PP,PDE3A
4.9606704353014e-11,0.512393911645784,0.545,0.153,1.15201649519004e-06,PP,MS4A8B
9.16713314405246e-11,0.660276678180394,0.932,0.541,2.1288833300433e-06,PP,S100A10
1.19821824558892e-10,0.327706081732841,0.886,0.41,2.78262223173116e-06,PP,ABCB1
1.57140228511074e-10,0.906643974567841,1,0.894,3.64926752671267e-06,PP,STMN2
1.75552116074345e-10,0.668209347065797,1,0.991,4.07684679159451e-06,PP,SCG2
1.86724040815055e-10,0.756946786543596,0.727,0.342,4.33629239984802e-06,PP,PXK
2.84493336287446e-10,0.711162101417149,0.773,0.38,6.60678874860336e-06,PP,DIRAS3
4.14832854454717e-10,0.570142243972944,0.409,0.106,9.63366337900189e-06,PP,MLPH
5.49110484271678e-10,0.344604877766683,0.818,0.385,1.27519927762412e-05,PP,KCNJ3
8.6148572714382e-10,0.459749889398927,0.386,0.096,2.00062830414609e-05,PP,MID1
2.5149104396073e-09,0.299547014670918,0.659,0.273,5.84037651390004e-05,PP,ID1
3.18214308496129e-09,0.579856781309629,0.886,0.475,7.38989088620561e-05,PP,EHF
3.80805751355685e-09,0.427045180339928,0.591,0.221,8.84345196373307e-05,PP,LRCH2
4.51310274245796e-09,1.07019990650195,0.977,0.923,0.000104807784988101,PP,PEG10
4.59629662190804e-09,0.776130295077485,0.977,0.904,0.000106739796450571,PP,MEIS2
5.99676506018693e-09,0.66586859695124,1,0.951,0.000139262874992721,PP,FXYD6-FXYD2
6.8889232974185e-09,0.680022157361282,0.909,0.658,0.00015998146573595,PP,ID4
8.27707654269257e-09,0.773375851325326,0.682,0.292,0.00019221854855095,PP,HGD
1.07972999043214e-08,1.09539927447151,0.386,0.109,0.000250745695678056,PP,CPB1
1.20686355817714e-08,0.781220184741967,0.705,0.362,0.000280269924115477,PP,CSGALNACT1
1.2327973638921e-08,0.525940825630344,0.273,0.056,0.000286292531816662,PP,TSPAN8
1.27657806733323e-08,0.362617181464692,0.5,0.168,0.000296459724576796,PP,C1orf130
2.48624651622284e-08,0.608633567881731,1,0.94,0.00057738102846243,PP,FXYD2
2.63293858643048e-08,0.535839188563277,0.977,0.798,0.000611447327926749,PP,FGFR1
3.57146881883825e-08,0.298065150415634,0.568,0.233,0.000829402203798807,PP,AK4
7.29234921921512e-08,0.518716828333536,0.568,0.231,0.00169350225917833,PP,EGR3
8.35111499024085e-08,0.543723992745206,1,0.882,0.00193937943418363,PP,SCGB2A1
1.00774338263026e-07,0.393026988348398,0.5,0.18,0.00234028245748225,PP,PLEKHB1
2.12633450076153e-07,0.632684500199825,0.977,0.942,0.0049379866111185,PP,EZR
2.2792407685863e-07,0.325068871917831,0.636,0.267,0.00529308083688796,PP,TMEM2
4.14618999717039e-07,0.322724488503374,0.5,0.199,0.00962869703042879,PP,DEPTOR
5.31457578744049e-07,0.511546551294375,0.864,0.563,0.012342039351173,PP,INPP5F
5.56126509950281e-07,0.611951475088852,1,0.946,0.0129149259405754,PP,EGR1
7.91879937015876e-07,0.541542896669137,1,0.674,0.0183898277773197,PP,TM4SF4
9.22013425591614e-07,0.506799760233831,0.727,0.414,0.021411917782514,PP,TOX3
1.05518343643162e-06,0.607595804242506,0.705,0.383,0.0245045249442515,PP,KANK1
1.14493270351099e-06,0.33668184598228,0.818,0.487,0.0265887721736357,PP,RAP1GAP
1.36617917607495e-06,0.999889787669217,0.932,0.775,0.0317267790059886,PP,BTG2
1.86751238991785e-06,0.455845272259913,0.568,0.243,0.0433692402310621,PP,RMST
4.6561233954941e-06,0.483927974837949,1,0.996,0.108129153613559,PP,H3F3B
